Year,Date,Load
2023,01-Jan 12am,138212.8
2023,01-Jan 1am,134620.74
2023,01-Jan 2am,131384.79
2023,01-Jan 3am,130602.47
2023,01-Jan 4am,133288.97
2023,01-Jan 5am,143888.71
2023,01-Jan 6am,155446.31
2023,01-Jan 7am,167779.45
2023,01-Jan 8am,178771.14
2023,01-Jan 9am,188824.25
2023,01-Jan 10am,193145.72
2023,01-Jan 11am,191646.95
2023,01-Jan 12pm,188169.65
2023,01-Jan 1pm,182866.46
2023,01-Jan 2pm,176995.99
2023,01-Jan 3pm,172995.73
2023,01-Jan 4pm,168340.79
2023,01-Jan 5pm,165445.84
2023,01-Jan 6pm,167030.44
2023,01-Jan 7pm,163000.28
2023,01-Jan 8pm,153913.45
2023,01-Jan 9pm,146452.21
2023,01-Jan 10pm,139950.39
2023,01-Jan 11pm,133975.64
2023,02-Jan 12am,129785.49
2023,02-Jan 1am,126618.63
2023,02-Jan 2am,124532.72
2023,02-Jan 3am,123955.58
2023,02-Jan 4am,127259.84
2023,02-Jan 5am,139013.99
2023,02-Jan 6am,154320.31
2023,02-Jan 7am,171773.29
2023,02-Jan 8am,182768.16
2023,02-Jan 9am,193590.2
2023,02-Jan 10am,199242.05
2023,02-Jan 11am,197852.3
2023,02-Jan 12pm,196467.92
2023,02-Jan 1pm,191930.21
2023,02-Jan 2pm,188879.75
2023,02-Jan 3pm,187304.67
2023,02-Jan 4pm,183878.56
2023,02-Jan 5pm,181132.08
2023,02-Jan 6pm,181225.11
2023,02-Jan 7pm,176986.22
2023,02-Jan 8pm,168859
2023,02-Jan 9pm,160707.41
2023,02-Jan 10pm,152076.53
2023,02-Jan 11pm,145023.83
2023,03-Jan 12am,139751.08
2023,03-Jan 1am,135635.6
2023,03-Jan 2am,132431.65
2023,03-Jan 3am,132340.63
2023,03-Jan 4am,136070.2
2023,03-Jan 5am,146923.24
2023,03-Jan 6am,161842.85
2023,03-Jan 7am,178811.49
2023,03-Jan 8am,188644.7
2023,03-Jan 9am,197321.01
2023,03-Jan 10am,202843.92
2023,03-Jan 11am,201665.52
2023,03-Jan 12pm,199411.18
2023,03-Jan 1pm,194008.39
2023,03-Jan 2pm,191796.45
2023,03-Jan 3pm,189127.21
2023,03-Jan 4pm,185215.52
2023,03-Jan 5pm,183021.09
2023,03-Jan 6pm,184391.84
2023,03-Jan 7pm,182105.17
2023,03-Jan 8pm,173062.81
2023,03-Jan 9pm,164430.7
2023,03-Jan 10pm,155840.52
2023,03-Jan 11pm,148168.76
2023,04-Jan 12am,142051.43
2023,04-Jan 1am,138024.68
2023,04-Jan 2am,134771.5
2023,04-Jan 3am,133675.31
2023,04-Jan 4am,137330.48
2023,04-Jan 5am,148225.78
2023,04-Jan 6am,163549.62
2023,04-Jan 7am,179775.02
2023,04-Jan 8am,189392.98
2023,04-Jan 9am,198578.12
2023,04-Jan 10am,201595.81
2023,04-Jan 11am,200050.76
2023,04-Jan 12pm,197754.84
2023,04-Jan 1pm,193281.32
2023,04-Jan 2pm,189724.62
2023,04-Jan 3pm,187249.66
2023,04-Jan 4pm,184001.44
2023,04-Jan 5pm,181641.83
2023,04-Jan 6pm,184484.54
2023,04-Jan 7pm,182098.66
2023,04-Jan 8pm,173649.35
2023,04-Jan 9pm,164907.22
2023,04-Jan 10pm,156687.9
2023,04-Jan 11pm,148439.91
2023,05-Jan 12am,141508.9
2023,05-Jan 1am,137249.8
