,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.046,0.049,0.051,0.063,0.06,0.064,0.062,0.029,0.05,0.042,0.061,0.057,0.045,0.05,0.022,0.049,0.03,0.046,0.027,0.024,0.036,0.045,0.062,0.023,0.055,0.037,0.042,0.026,0.063,0.023,0.021,0.015,0.04,0.059,0.055,0.05,0.043,0.032,0.047,0.054,0.024,0.054,0.038
8,0.163,0.169,0.162,0.237,0.232,0.236,0.251,0.102,0.166,0.173,0.211,0.193,0.164,0.177,0.081,0.205,0.115,0.162,0.105,0.109,0.128,0.177,0.243,0.107,0.223,0.146,0.136,0.122,0.244,0.086,0.088,0.057,0.145,0.187,0.194,0.209,0.146,0.125,0.194,0.204,0.095,0.217,0.16
9,0.315,0.324,0.286,0.409,0.408,0.39,0.434,0.19,0.307,0.36,0.386,0.313,0.309,0.317,0.171,0.365,0.223,0.27,0.179,0.253,0.221,0.345,0.43,0.245,0.409,0.31,0.254,0.295,0.424,0.156,0.169,0.117,0.248,0.283,0.329,0.38,0.261,0.257,0.351,0.357,0.201,0.393,0.279
10,0.436,0.455,0.366,0.545,0.54,0.503,0.571,0.265,0.401,0.511,0.532,0.411,0.435,0.367,0.258,0.47,0.333,0.335,0.256,0.366,0.282,0.504,0.568,0.412,0.553,0.428,0.367,0.332,0.563,0.242,0.231,0.192,0.335,0.353,0.468,0.516,0.399,0.367,0.484,0.495,0.296,0.529,0.372
11,0.49,0.545,0.388,0.625,0.619,0.539,0.659,0.319,0.428,0.607,0.632,0.482,0.511,0.404,0.345,0.521,0.398,0.401,0.263,0.437,0.29,0.623,0.655,0.549,0.637,0.547,0.451,0.328,0.653,0.358,0.266,0.258,0.386,0.402,0.57,0.597,0.526,0.405,0.565,0.593,0.345,0.611,0.466
12,0.495,0.597,0.385,0.662,0.646,0.475,0.697,0.348,0.438,0.65,0.664,0.552,0.542,0.449,0.429,0.522,0.387,0.425,0.251,0.429,0.302,0.67,0.691,0.591,0.67,0.637,0.481,0.32,0.692,0.441,0.267,0.303,0.369,0.449,0.594,0.623,0.602,0.403,0.594,0.64,0.366,0.652,0.539
13,0.483,0.604,0.387,0.642,0.616,0.378,0.689,0.35,0.423,0.648,0.654,0.597,0.521,0.457,0.48,0.493,0.35,0.414,0.235,0.34,0.277,0.659,0.677,0.592,0.654,0.646,0.462,0.301,0.682,0.438,0.267,0.348,0.333,0.525,0.571,0.614,0.608,0.347,0.582,0.643,0.355,0.642,0.565
14,0.441,0.549,0.368,0.573,0.557,0.291,0.641,0.295,0.387,0.595,0.589,0.575,0.39,0.405,0.462,0.456,0.283,0.378,0.228,0.295,0.234,0.596,0.617,0.536,0.602,0.573,0.408,0.271,0.622,0.368,0.251,0.37,0.256,0.526,0.477,0.547,0.531,0.265,0.531,0.592,0.308,0.586,0.523
15,0.372,0.425,0.333,0.473,0.448,0.227,0.548,0.234,0.303,0.47,0.481,0.485,0.268,0.315,0.408,0.338,0.172,0.311,0.19,0.215,0.192,0.42,0.518,0.459,0.506,0.421,0.334,0.222,0.51,0.25,0.179,0.326,0.197,0.41,0.35,0.439,0.397,0.183,0.442,0.482,0.223,0.489,0.442
