,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.39,0.183,0.371,0.324,0.382,0.27,0.277,0.547,0.123,0.438,0.452,0.386,0.28,0.14,0.651,0.222,0.341,0.326,0.628,0.228,0.466,0.254,0.189,0.32,0.374,0.204,0.323,0.016,0.152,0.32,0.518,0.671,0.418,0.207,0.172,0.262,0.188,0.377,0.221,0.311,0.302,0.173,0.247
2,0.366,0.159,0.332,0.225,0.318,0.226,0.225,0.55,0.136,0.388,0.448,0.351,0.22,0.165,0.642,0.221,0.378,0.353,0.738,0.165,0.418,0.237,0.161,0.35,0.323,0.237,0.317,0,0.13,0.397,0.492,0.755,0.438,0.186,0.164,0.292,0.193,0.362,0.2,0.257,0.257,0.147,0.239
3,0.344,0.15,0.306,0.189,0.26,0.194,0.259,0.547,0.066,0.322,0.448,0.318,0.204,0.179,0.602,0.247,0.427,0.312,0.799,0.137,0.343,0.22,0.138,0.373,0.337,0.237,0.298,0,0.102,0.376,0.444,0.783,0.425,0.198,0.156,0.27,0.121,0.261,0.169,0.228,0.218,0.115,0.179
4,0.351,0.157,0.281,0.18,0.22,0.206,0.293,0.533,0.018,0.313,0.414,0.289,0.245,0.166,0.552,0.252,0.406,0.268,0.788,0.117,0.268,0.206,0.122,0.388,0.271,0.203,0.268,0.006,0.078,0.321,0.373,0.762,0.411,0.225,0.152,0.271,0.102,0.214,0.148,0.216,0.183,0.091,0.112
5,0.454,0.155,0.266,0.166,0.179,0.203,0.278,0.428,0.019,0.294,0.368,0.272,0.257,0.142,0.498,0.26,0.399,0.227,0.794,0.097,0.203,0.203,0.119,0.307,0.195,0.178,0.26,0.031,0.073,0.236,0.34,0.642,0.404,0.219,0.145,0.233,0.113,0.219,0.138,0.219,0.176,0.069,0.117
6,0.422,0.163,0.254,0.16,0.153,0.212,0.228,0.443,0.029,0.271,0.337,0.24,0.245,0.127,0.462,0.264,0.407,0.223,0.8,0.083,0.17,0.194,0.099,0.247,0.207,0.132,0.242,0.052,0.073,0.203,0.334,0.443,0.38,0.208,0.137,0.194,0.097,0.214,0.127,0.231,0.178,0.056,0.119
7,0.362,0.207,0.258,0.166,0.195,0.253,0.22,0.436,0.024,0.243,0.265,0.19,0.258,0.117,0.431,0.388,0.391,0.233,0.755,0.072,0.18,0.221,0.072,0.186,0.221,0.088,0.226,0.037,0.048,0.168,0.323,0.394,0.294,0.177,0.128,0.199,0.102,0.178,0.103,0.289,0.128,0.044,0.102
8,0.638,0.313,0.39,0.326,0.43,0.379,0.294,0.527,0.023,0.519,0.514,0.431,0.5,0.123,0.53,0.581,0.569,0.433,0.849,0.19,0.31,0.443,0.082,0.331,0.404,0.155,0.398,0.018,0.03,0.283,0.39,0.573,0.491,0.209,0.133,0.232,0.123,0.277,0.268,0.362,0.166,0.061,0.128
9,0.815,0.354,0.48,0.356,0.5,0.398,0.228,0.641,0.012,0.672,0.554,0.492,0.586,0.082,0.817,0.606,0.722,0.489,0.86,0.321,0.421,0.52,0.067,0.507,0.45,0.188,0.448,0.015,0.025,0.47,0.484,0.677,0.651,0.225,0.106,0.182,0.086,0.482,0.395,0.446,0.202,0.064,0.131
10,0.836,0.331,0.498,0.326,0.478,0.335,0.123,0.68,0.008,0.691,0.477,0.462,0.59,0.049,0.889,0.539,0.763,0.474,0.84,0.373,0.398,0.507,0.054,0.593,0.427,0.16,0.446,0.011,0.037,0.533,0.449,0.77,0.671,0.21,0.065,0.114,0.047,0.593,0.422,0.489,0.182,0.053,0.125
