t,s,Coal,Solar,Wind,Storage injection,Storage generation,unmet,surplus,Load
1,Avg,0.23770398992615394,0.0,0.8782474554521139,0.22095144537826783,0.0,0.0,0.0,0.895
2,Avg,0.23770398992615394,0.0,0.8057534165041046,0.16445740643025852,0.0,0.0,0.0,0.879
3,Avg,0.23770398992615394,0.0,0.7285056700840945,0.09220966001024844,0.0,0.0,0.0,0.874
4,Avg,0.23770398992615394,0.0,0.6536347774000848,0.028338767326238745,0.0,0.0,0.0,0.863
5,Avg,0.23770398992615394,0.0,0.5870828727920762,0.0,0.06023681920196655,0.0,0.0,0.879
6,Avg,0.23770398992615394,0.0,0.5573722010920723,0.0,0.11102645442419301,0.0,0.0,0.895
7,Avg,0.23770398992615394,0.0,0.5692564697720738,0.0,0.10893282255752468,0.0,0.0,0.905
8,Avg,0.23770398992615394,0.02525048277763845,0.5835175921880756,0.0,0.08836437234236816,0.0,0.0,0.926
9,Avg,0.23770398992615394,0.20410806911924415,0.5763870309800747,0.07119909002547287,0.0,0.0,0.0,0.947
10,Avg,0.23770398992615394,0.3450899312943922,0.5276615293920685,0.15745545061261462,0.0,0.0,0.0,0.953
11,Avg,0.23770398992615394,0.39506484512513496,0.47061703972806107,0.14538587477935,0.0,0.0,0.0,0.958
12,Avg,0.23770398992615394,0.4082161382384883,0.40406513512005243,0.14998526328469464,0.0,0.0,0.0,0.9
13,Avg,0.23770398992615394,0.40453377616674935,0.32562896183204226,0.06286672792494552,0.0,0.0,0.0,0.905
14,Avg,0.2899400006823237,0.379809345113645,0.24125065420403133,0.0,0.0,0.0,0.0,0.911
15,Avg,0.43491000102348554,0.32352181058849266,0.16756818838802173,0.0,0.0,0.0,0.0,0.926
16,Avg,0.5942599748153848,0.2172593622325975,0.13548066295201758,0.0,0.0,0.0,0.0,0.947
17,Avg,0.5942599748153848,0.0752253966083812,0.14855335850001927,0.0,0.16106807786246083,0.0,0.0,0.963
18,Avg,0.5942599748153848,0.0005260517245341344,0.1949020063520253,0.0,0.22145774123117323,0.0,0.0,0.989
19,Avg,0.5942599748153848,0.0,0.2519464960160327,0.0,0.17088169907620238,0.0,0.0,1.0
20,Avg,0.5927205661116661,0.0,0.33038266930404286,0.0,0.08544084953810119,0.0,0.0,1.0
21,Avg,0.571747605003804,0.0,0.3898040127040506,0.0,0.042720424769050594,0.0,0.0,1.0
22,Avg,0.502318990109872,0.0,0.42545681874405517,0.0,0.021360212384525297,0.0,0.0,0.947
23,Avg,0.4526551333789042,0.0,0.45873277104805954,0.0,0.010680106192262648,0.0,0.0,0.921
24,Avg,0.4255190468254216,0.0,0.4646749053880603,0.0,0.005340053096131324,0.0,0.0,0.895
