t,s,Coal,Solar,Wind,Storage injection,Storage generation,unmet,surplus,Load
1,Avg,0.38714896904473567,0.0,0.16955291800665112,0.0,0.028427952776865162,0.0,0.0,0.5822870445505655
2,Avg,0.40798458751876365,0.0,0.14637661999319515,0.0,0.014213976388432581,0.0,0.0,0.5671537862615481
3,Avg,0.406033723539672,0.0,0.14109079751696013,0.0,0.0071069881942162905,0.0,0.0,0.5535208104314268
4,Avg,0.4089854867678242,0.0,0.1380412845243686,0.0,0.0035534940971081452,0.0,0.0,0.5502249159795901
5,Avg,0.43044135211345913,0.0,0.12950264834426858,0.0,0.0017767470485540726,0.0,0.0,0.5615430728014265
6,Avg,0.4870788729635181,0.0,0.11832110125797816,0.0,0.0008883735242770363,0.0,0.0,0.6061995103933456
7,Avg,0.5383335885892754,0.012677893310212589,0.10348013804949455,0.0,0.00044418676213851815,0.0,0.0,0.6548913880349072
8,Avg,0.5052888545469353,0.09523880828159703,0.10612304928761204,0.0,0.00022209338106925908,0.0,0.0,0.7068505961591067
9,Avg,0.4194765022670156,0.18537553754810845,0.14820632739043754,0.0,0.00011104669053462954,0.0,0.0,0.7531583092270426
10,Avg,0.39171831735708385,0.24598205190912478,0.15776146812268615,0.0,5.552334526731477e-05,0.0,0.0,0.7955118083996354
11,Avg,0.3905075938742029,0.2810781711947133,0.1421073020691087,0.0,2.7761672633657385e-05,0.0,0.0,0.8137180526433953
12,Avg,0.40171382574759185,0.29406528141493105,0.11161217247512054,0.0,1.3880836316828692e-05,0.0,0.0,0.8074037723903286
13,Avg,0.40852030610145507,0.29762127587999065,0.08660616673249506,0.0,6.940418158414346e-06,0.0,0.0,0.7927539950902834
14,Avg,0.4021982890480622,0.2897362446748585,0.07847413230686906,0.0,3.470209079207173e-06,0.0,0.0,0.770411789217961
15,Avg,0.4248426042145428,0.2303665979538629,0.09046888323403462,0.0,1.7351045396035865e-06,0.0,0.0,0.745679646996526
16,Avg,0.4356440568635275,0.1600197509276833,0.13316206380260756,0.0,8.675522698017933e-07,0.0,0.0,0.7288266523908611
17,Avg,0.4240645724147376,0.06416250882607591,0.22098803579852466,0.0,4.3377613490089663e-07,0.0,0.0,0.7092155074378595
18,Avg,0.34946334211482744,0.0009276507300155554,0.34662796797318074,0.0,2.1688806745044832e-07,0.0,0.0,0.6970191560172845
19,Avg,0.2676145916434292,0.0,0.43608034665506684,0.0,1.0844403372522416e-07,0.0,0.0,0.7036950358981264
20,Avg,0.25879022918312267,0.0,0.42792584416257795,0.0,0.0,0.0,0.0,0.6867160733457006
