t,s,Solar,Storage injection,Storage generation,storage_status,unmet,surplus,lower_fcas,up_fcas,lower_fcas_stor,up_fcas_stor,Load,dual_demand,emission
1,Avg,0.0,0.0,6.331341242238595,6.331341242238595,0.0,5.115920073464169,0.0,0.0,6.331341242238595,0.0,0.5822870445505655,-0.0,0.0
2,Avg,0.0,0.0,2.3521511470434797,3.979190095195115,0.0,1.5497822460775836,0.0,0.0,11.937316141530099,0.0,0.5671537862615481,-0.0,0.0
3,Avg,0.0,0.0,0.6150231227015853,3.3641669724935297,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.5535208104314268,-0.0,0.0
4,Avg,0.0,0.0,0.6113610177551001,2.7528059547384296,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.5502249159795901,-0.0,0.0
5,Avg,0.0,0.0,0.6239367475571406,2.128869207181289,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.5615430728014265,-0.0,0.0
6,Avg,0.0,0.0,0.6735550115481619,1.4553141956331272,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.6061995103933456,-0.0,0.0
7,Avg,0.0,0.0,0.7276570978165636,0.7276570978165636,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.6548913880349072,-0.0,0.0
8,Avg,0.7068505961591067,0.0,0.0,0.7276570978165636,0.0,0.0,0.0,0.0,11.937316141530099,0.07068505961591068,0.7068505961591067,-0.0,0.0
9,Avg,2.693816897227441,1.9406585880003986,0.0,2.668315685816962,0.0,0.0,0.0,0.0,11.937316141530099,0.2693816897227441,0.7531583092270426,-0.0,0.0
10,Avg,0.0,0.7367822731236319,1.702548979470297,1.702548979470297,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7955118083996354,-0.0,0.0
11,Avg,4.21004158388323,3.396323531239835,0.0,5.098872510710132,0.0,0.0,0.0,0.0,11.937316141530099,0.42100415838832306,0.8137180526433953,-0.0,0.0
12,Avg,4.404564957395987,3.5971611850056586,0.0,8.69603369571579,0.0,0.0,0.0,0.0,11.937316141530099,0.4404564957395987,0.8074037723903286,-0.0,0.0
13,Avg,0.0,0.0,0.8808377723225372,7.815195923393253,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7927539950902834,-0.0,0.0
14,Avg,4.3397238328917345,3.5693120436737735,0.0,11.384507967067027,0.0,0.0,0.0,0.0,11.937316141530099,0.4339723832891735,0.770411789217961,-0.0,0.0
15,Avg,0.0,7.958816251242976,9.671662109155001,9.671662109155001,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.745679646996526,-0.0,0.0
16,Avg,2.3968058522107496,1.6679791998198885,0.0,11.33964130897489,0.0,0.0,0.0,0.0,11.937316141530099,0.23968058522107497,0.7288266523908611,-0.0,0.0
17,Avg,0.9610380953308802,0.2518225878930207,0.0,11.59146389686791,0.0,0.0,0.0,0.0,11.937316141530099,0.09610380953308803,0.7092155074378595,-0.0,0.0
18,Avg,0.0,8.216617450133228,9.90404067350057,9.90404067350057,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.6970191560172845,-0.0,0.0
19,Avg,0.0,0.0,0.7818833732201406,9.12215730028043,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7036950358981264,-0.0,0.0
20,Avg,0.0,0.0,0.7630178592730007,8.359139441007429,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.6867160733457006,-0.0,0.0
21,Avg,0.0,0.0,0.720481652745149,7.638657788262281,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.648433487470634,-0.0,0.0
22,Avg,0.0,0.0,0.6855549681264348,6.953102820135846,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.6169994713137913,-0.0,0.0
23,Avg,0.0,0.0,0.6551194082747686,6.297983411861077,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.5896074674472916,-0.0,0.0
24,Avg,0.0,0.0,0.627151106903192,5.6708323049578855,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.5644359962128728,-0.0,0.0
25,Avg,0.0,3.645620977109349,4.658226641033617,4.658226641033617,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.5467829998209065,-0.0,0.0
26,Avg,0.0,0.0,0.5927123315780818,4.065514309455535,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.5334410984202735,-0.0,0.0
27,Avg,0.0,0.0,0.582948013487118,3.482566295968417,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.5246532121384062,-0.0,0.0
28,Avg,0.0,1.8998783587783672,2.691222327373392,2.691222327373392,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.522221735857686,-0.0,0.0
29,Avg,0.0,0.0,0.595713888885495,2.0955084384878973,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.5361424999969455,-0.0,0.0
30,Avg,0.0,0.0,0.6507360420411445,1.4447723964467527,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.5856624378370301,-0.0,0.0
31,Avg,0.0,0.0,0.7223861982233764,0.7223861982233764,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.6501475784010387,-0.0,0.0
32,Avg,0.723676543466504,0.0,0.0,0.7223861982233764,0.0,0.0,0.0,0.0,11.937316141530099,0.0723676543466504,0.723676543466504,-0.0,0.0
33,Avg,2.5368800682085713,1.766882414414242,0.0,2.4892686126376184,0.0,0.0,0.0,0.0,11.937316141530099,0.2536880068208571,0.7699976537943294,-0.0,0.0
34,Avg,0.0,0.0,0.9062118174289767,1.5830567952086416,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.815590635686079,-0.0,0.0
35,Avg,4.242462146135357,3.4030604087803797,0.0,4.986117203989021,0.0,0.0,0.0,0.0,11.937316141530099,0.42424621461353573,0.8394017373549773,-0.0,0.0
36,Avg,4.677823982092478,3.844277226476993,0.0,8.830394430466015,0.0,0.0,0.0,0.0,11.937316141530099,0.4677823982092478,0.8335467556154846,-0.0,0.0
37,Avg,0.0,0.0,0.9196826639452348,7.91071176652078,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.8277143975507113,-0.0,0.0
38,Avg,4.311934779532769,12.489310672279434,9.984414480423467,10.415607958376745,0.0,0.0,0.0,0.0,11.937316141530099,0.4311934779532769,0.8085971396344578,-0.0,0.0
39,Avg,0.0,0.0,0.8841618094460916,9.531446148930653,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7957456285014823,-0.0,0.0
40,Avg,2.6839594035867234,11.024040256915095,10.143545232743538,10.41194117310221,0.0,0.0,0.0,0.0,11.937316141530099,0.26839594035867237,0.7891098561408132,-0.0,0.0
41,Avg,1.139351187717574,0.36467544669638174,0.0,10.776616619798592,0.0,0.0,0.0,0.0,11.937316141530099,0.1139351187717574,0.7746757410211922,-0.0,0.0
42,Avg,0.0,0.0,0.8478943221892987,9.928722297609292,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7631048899703688,-0.0,0.0
43,Avg,0.0,0.0,0.8483298033519578,9.080392494257335,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.763496823016762,-0.0,0.0
44,Avg,0.0,0.0,0.8284872069251682,8.251905287332168,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7456384862326514,-0.0,0.0
45,Avg,0.0,0.0,0.7904430145701568,7.46146227276201,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7113987131131411,-0.0,0.0
46,Avg,0.0,0.0,0.7522847442195096,6.709177528542501,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.6770562697975586,-0.0,0.0
47,Avg,0.0,0.0,0.7118828775402489,5.997294651002252,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.640694589786224,-0.0,0.0
48,Avg,0.0,3.796001546533728,4.89664809876799,4.89664809876799,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.6109817423574635,-0.0,0.0
49,Avg,0.0,0.0,0.6541864215981094,4.242461677169881,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.5887677794382984,-0.0,0.0
